caso_id,tipo,modelo,plantilla,temperature,top_p,top_k,esfuerzo,corrida,tokens_entrada,tokens_salida,tokens_razonamiento,latencia_s,costo_usd,salida,respuesta_extraida,esperada,acierto,error_codigo,error_mensaje,parte
0b_interruptor,demostracion,openai-community/gpt2,0b_interruptor,0.2,1.0,0,,0,8,40,0,0.5480685000075027,0," calculate the total of all the items in the list.

$item = array( 'total' => $item, 'total' => $item, 'total' => $item, '",,,,,,0
0b_interruptor,demostracion,openai-community/gpt2,0b_interruptor,1.5,1.0,0,,0,8,40,0,0.502117800002452,0," calculate the total of all the items in the list.

$item = array( 'total' => $item, 'total' => $item, 'total' => $item, '",,,,,,0
0b_top_k_1,demostracion,openai-community/gpt2,0b_top_k_1,1.0,1.0,1,,0,8,40,0,0.584454600000754,0," calculate the total of all the items in the list.

$item = array( 'total' => $item, 'total' => $item, 'total' => $item, '",,,,,,0
0b_top_k_1,demostracion,openai-community/gpt2,0b_top_k_1,1.0,1.0,1,,1,8,40,0,0.5759416000219062,0," calculate the total of all the items in the list.

$item = array( 'total' => $item, 'total' => $item, 'total' => $item, '",,,,,,0
0b_top_k_1,demostracion,openai-community/gpt2,0b_top_k_1,1.0,1.0,1,,2,8,40,0,0.5893059999798425,0," calculate the total of all the items in the list.

$item = array( 'total' => $item, 'total' => $item, 'total' => $item, '",,,,,,0
0b_top_k_1,demostracion,openai-community/gpt2,0b_top_k_1,1.0,1.0,1,,3,8,40,0,0.570346399967093,0," calculate the total of all the items in the list.

$item = array( 'total' => $item, 'total' => $item, 'total' => $item, '",,,,,,0
0b_top_k_1,demostracion,openai-community/gpt2,0b_top_k_1,1.0,1.0,1,,4,8,40,0,0.5663511999882758,0," calculate the total of all the items in the list.

$item = array( 'total' => $item, 'total' => $item, 'total' => $item, '",,,,,,0
0b_degeneracion,demostracion,openai-community/gpt2,0b_degeneracion,1.0,1.0,0,,0,8,100,0,1.4544389999937266,0," calculate the total of all the items in the list.

$item = array( 'total' => $item, 'total' => $item, 'total' => $item, 'total' => $item, 'total' => $item, 'total' => $item, 'total' => $item, 'total' => $item, 'total' => $item, 'total' => $item, 'total' => $item, 'total' => $",,,,,,0
c01,demostracion,openai-community/gpt2,zero_shot,1.0,1.0,0,,0,87,100,0,1.4178609999944456,0,"

Una cada una de 43 sillas. ¿Cuántos tornillos le sobran?

Una cada una de 43 sillas. ¿Cuántos tornillos le sobran?

Una cada una de 43 sillas. ¿Cuántos tornillos le sobran?

Una cada una de 43 sillas. ¿Cuántos",,,,,,0
c01,limpio,gpt-4o-mini,zero_shot,,,,,0,64,1,0,2.0118448000284843,1.0199999999999999e-05,184,184,311,False,,,1
c02,limpio,gpt-4o-mini,zero_shot,,,,,0,62,1,0,1.9339935000170954,9.899999999999998e-06,69,69,65,False,,,1
c03,limpio,gpt-4o-mini,zero_shot,,,,,0,91,2,0,1.9148949999944307,1.485e-05,3760,3760,2870,False,,,1
c04,limpio,gpt-4o-mini,zero_shot,,,,,0,83,2,0,1.9424631000147201,1.3649999999999998e-05,1098,1098,820,False,,,1
c05,limpio,gpt-4o-mini,zero_shot,,,,,0,70,1,0,1.9001219000201672,1.11e-05,66,66,60,False,,,1
c06,limpio,gpt-4o-mini,zero_shot,,,,,0,79,1,0,1.9933437000145204,1.245e-05,25,25,17,False,,,1
c07,limpio,gpt-4o-mini,zero_shot,,,,,0,101,1,0,1.817989300005138,1.5749999999999997e-05,23,23,15,False,,,1
c08,limpio,gpt-4o-mini,zero_shot,,,,,0,87,1,0,1.7773809999926016,1.3649999999999998e-05,120,120,92,False,,,1
c09,limpio,gpt-4o-mini,zero_shot,,,,,0,71,1,0,1.8404938000021502,1.125e-05,393,393,369,False,,,1
c10,limpio,gpt-4o-mini,zero_shot,,,,,0,85,1,0,1.9310153999831527,1.335e-05,222,222,84,False,,,1
c01,limpio,gpt-5.6-luna,zero_shot,,,,,0,63,35,25,1.0198324999655597,5.46e-05,311,311,311,True,,,1
c02,limpio,gpt-5.6-luna,zero_shot,,,,,0,61,36,26,1.124978099949658,5.54e-05,65,65,65,True,,,1
c03,limpio,gpt-5.6-luna,zero_shot,,,,,0,90,43,32,1.0610415999544784,6.96e-05,2870,2870,2870,True,,,1
c04,limpio,gpt-5.6-luna,zero_shot,,,,,0,82,39,29,1.236107999982778,6.32e-05,820,820,820,True,,,1
c05,limpio,gpt-5.6-luna,zero_shot,,,,,0,69,35,25,0.7852889000205323,5.5799999999999994e-05,60,60,60,True,,,1
c06,limpio,gpt-5.6-luna,zero_shot,,,,,0,78,35,25,1.0590222999453545,5.7600000000000004e-05,17,17,17,True,,,1
c07,limpio,gpt-5.6-luna,zero_shot,,,,,0,100,56,46,1.2340984999900684,8.72e-05,15,15,15,True,,,1
c08,limpio,gpt-5.6-luna,zero_shot,,,,,0,86,44,34,0.902240100025665,7e-05,92,92,92,True,,,1
c09,limpio,gpt-5.6-luna,zero_shot,,,,,0,70,31,21,1.5161950000328943,5.12e-05,369,369,369,True,,,1
c10,limpio,gpt-5.6-luna,zero_shot,,,,,0,84,51,41,1.3613370999810286,7.8e-05,84,84,84,True,,,1
c01,limpio,gpt-4o-mini,zero_shot,0.0,,,,0,64,1,0,0.7764260999974795,1.0199999999999999e-05,1,1,311,False,,,2a
c01,limpio,gpt-4o-mini,zero_shot,0.0,,,,1,64,1,0,0.6085692999768071,1.0199999999999999e-05,1,1,311,False,,,2a
c02,limpio,gpt-4o-mini,zero_shot,0.0,,,,0,62,1,0,0.42748980002943426,9.899999999999998e-06,69,69,65,False,,,2a
